prob,cell_id
0.52,1213435
0.52,1213436
0.52,1213437
0.52,1213438
0.52,1217052
0.52,1217053
0.52,1217054
0.52,1217055
0.52,1220669
0.52,1220670
0.52,1220671
0.52,1220672
0.52,1224286
0.52,1224287
0.52,1224288
0.52,1227903
0.52,1227904
0.52,1227905
0.52,1231519
0.52,1231520
0.52,1231521
0.52,1231522
0.52,1213439
0.52,1213440
0.52,1213441
0.52,1213442
0.52,1217056
0.52,1217057
0.52,1217058
0.52,1217059
0.52,1220673
0.52,1220674
0.52,1220675
0.52,1224289
0.52,1224290
0.52,1224291
0.52,1224292
0.52,1227906
0.52,1227907
0.52,1227908
0.52,1227909
0.52,1231523
0.52,1231524
0.52,1231525
0.52,1231526
0.52,1213443
0.52,1213444
0.52,1213445
0.52,1217060
0.52,1217061
0.52,1217062
0.52,1220676
0.52,1220677
0.52,1220678
0.52,1220679
0.52,1224293
0.52,1224294
0.52,1224295
0.52,1224296
0.52,1227910
0.52,1227911
0.52,1227912
0.52,1227913
0.52,1231527
0.52,1231528
0.52,1231529
0.52,1231530
0.52,1213446
0.52,1213447
0.52,1213448
0.52,1213449
0.52,1217063
0.52,1217064
0.52,1217065
0.52,1217066
0.52,1220680
0.52,1220681
0.52,1220682
0.52,1220683
0.52,1224297
0.52,1224298
0.52,1224299
0.52,1224300
0.52,1227914
0.52,1227915
0.52,1227916
0.52,1227917
0.52,1231531
0.52,1231532
0.52,1231533
0.52,1231534
0.52,1213450
0.52,1213451
0.52,1213452
0.52,1213453
0.52,1217067
0.52,1217068
0.52,1217069
0.52,1217070
0.52,1220684
0.52,1220685
0.52,1220686
0.52,1220687
0.52,1224301
0.52,1224302
0.52,1224303
0.52,1224304
0.52,1227918
0.52,1227919
0.52,1227920
0.52,1227921
0.52,1231535
0.52,1231536
0.52,1231537
0.52,1231538
0.52,1213454
0.52,1213455
0.52,1213456
0.52,1213457
0.52,1217071
0.52,1217072
0.52,1217073
0.52,1217074
0.52,1220688
0.52,1220689
0.52,1220690
0.52,1220691
0.52,1224305
0.52,1224306
0.52,1224307
0.52,1224308
0.52,1227922
0.52,1227923
0.52,1227924
0.52,1227925
0.52,1231539
0.52,1231540
0.52,1231541
0.52,1231542
0.51,1213458
0.51,1213459
0.51,1213460
0.51,1213461
0.51,1217075
0.51,1217076
0.51,1217077
0.51,1217078
0.51,1220692
0.51,1220693
0.51,1220694
0.51,1220695
0.51,1224309
0.51,1224310
0.51,1224311
0.51,1224312
0.51,1227926
0.51,1227927
0.51,1227928
0.51,1227929
0.51,1231543
0.51,1231544
0.51,1231545
0.51,1231546
0.45,1213462
0.45,1213463
0.45,1213464
0.45,1213465
0.45,1217079
0.45,1217080
0.45,1217081
0.45,1217082
0.45,1220696
0.45,1220697
0.45,1220698
0.45,1220699
0.45,1224313
0.45,1224314
0.45,1224315
0.45,1224316
0.45,1227930
0.45,1227931
0.45,1227932
0.45,1227933
0.45,1231547
0.45,1231548
0.45,1231549
0.45,1231550
0.44,1213466
0.44,1213467
0.44,1217083
0.44,1217084
0.44,1217085
0.44,1217086
0.44,1220700
0.44,1220701
0.44,1220702
0.44,1220703
0.44,1224317
0.44,1224318
0.44,1224319
0.44,1224320
0.44,1227934
0.44,1227935
0.44,1227936
0.44,1227937
0.44,1231551
0.44,1231552
0.44,1231553
0.44,1231554
0.44,1217087
0.44,1217088
0.44,1220704
0.44,1220705
0.44,1220706
0.44,1224321
0.44,1224322
0.44,1227938
0.44,1227939
0.44,1235140
0.44,1235141
0.44,1235142
0.44,1235143
0.44,1238757
0.44,1238758
0.44,1238759
0.44,1238760
0.44,1242374
0.44,1242375
0.44,1242376
0.44,1242377
0.44,1245991
0.44,1245992
0.44,1245993
0.44,1245994
0.44,1249608
0.44,1249609
0.44,1249610
0.44,1249611
0.54,1235144
0.54,1235145
0.54,1235146
0.54,1235147
0.54,1238761
0.54,1238762
0.54,1238763
0.54,1238764
0.54,1242378
0.54,1242379
0.54,1242380
0.54,1242381
0.54,1245995
0.54,1245996
0.54,1245997
0.54,1245998
0.54,1249612
0.54,1249613
0.54,1249614
0.54,1249615
0.53,1235148
0.53,1235149
0.53,1235150
0.53,1235151
0.53,1238765
0.53,1238766
0.53,1238767
0.53,1238768
0.53,1242382
0.53,1242383
0.53,1242384
0.53,1242385
0.53,1245999
0.53,1246000
0.53,1246001
0.53,1246002
0.53,1249616
0.53,1249617
0.53,1249618
0.53,1249619
0.53,1235152
0.53,1235153
0.53,1235154
0.53,1235155
0.53,1238769
0.53,1238770
0.53,1238771
0.53,1238772
0.53,1242386
0.53,1242387
0.53,1242388
0.53,1242389
0.53,1246003
0.53,1246004
0.53,1246005
0.53,1246006
0.53,1249620
0.53,1249621
0.53,1249622
0.53,1249623
0.54,1235156
0.54,1235157
0.54,1235158
0.54,1235159
0.54,1238773
0.54,1238774
0.54,1238775
0.54,1238776
0.54,1242390
0.54,1242391
0.54,1242392
0.54,1242393
0.54,1246007
0.54,1246008
0.54,1246009
0.54,1246010
0.54,1249624
0.54,1249625
0.54,1249626
0.54,1249627
0.54,1235160
0.54,1235161
0.54,1235162
0.54,1235163
0.54,1238777
0.54,1238778
0.54,1238779
0.54,1238780
0.54,1242394
0.54,1242395
0.54,1242396
0.54,1242397
0.54,1246011
0.54,1246012
0.54,1246013
0.54,1246014
0.54,1249628
0.54,1249629
0.54,1249630
0.52,1235164
0.52,1235165
0.52,1235166
0.52,1235167
0.52,1238781
0.52,1238782
0.52,1238783
0.52,1238784
0.52,1242398
0.52,1242399
0.52,1242400
0.52,1246015
0.52,1246016
0.52,1246017
0.52,1249631
0.52,1249632
0.52,1249633
0.52,1249634
0.51,1235168
0.51,1235169
0.51,1235170
0.51,1238785
0.51,1238786
0.51,1238787
0.51,1242401
0.51,1242402
0.51,1242403
0.51,1242404
0.51,1246018
0.51,1246019
0.51,1246020
0.51,1246021
0.51,1249635
0.51,1249636
0.51,1249637
0.51,1249638
0.52,1235171
0.52,1235172
0.52,1235174
0.52,1238788
0.52,1238789
0.52,1238790
0.52,1238791
0.52,1242405
0.52,1242406
0.52,1242407
0.52,1242408
0.52,1246022
0.52,1246023
0.52,1246024
0.52,1246025
0.52,1249639
0.52,1249640
0.52,1249641
0.52,1249642
0.51,1235175
0.51,1238792
0.51,1238793
0.51,1238794
0.51,1242409
0.51,1242410
0.51,1242411
0.51,1242412
0.51,1246026
0.51,1246027
0.51,1246028
0.51,1246029
0.51,1249643
0.51,1249644
0.51,1249645
0.51,1249646
0.51,1242413
0.51,1242414
0.51,1242415
0.51,1242416
0.51,1246030
0.51,1246031
0.51,1246032
0.51,1249647
0.51,1249648
0.51,1249649
0.51,1249650
0.5,1246034
0.5,1246035
0.5,1246036
0.5,1249651
0.5,1249652
0.5,1249653
0.5,1249654
0.02,1249655
0.56,1253241
0.56,1253242
0.56,1253243
0.56,1253244
0.56,1256858
0.56,1256859
0.56,1256860
0.56,1260474
0.56,1260475
0.56,1260476
0.56,1260477
0.56,1264091
0.56,1264092
0.56,1264093
0.56,1264094
0.56,1267708
0.56,1267709
0.56,1267710
0.56,1267711
0.56,1253245
0.56,1253246
0.56,1253247
0.56,1256861
0.56,1256862
0.56,1256863
0.56,1256864
0.56,1260478
0.56,1260479
0.56,1260480
0.56,1260481
0.56,1264095
0.56,1264096
0.56,1264097
0.56,1264098
0.56,1267712
0.56,1267713
0.56,1267714
0.56,1267715
0.57,1253248
0.57,1253249
0.57,1253250
0.57,1253251
0.57,1256865
0.57,1256866
0.57,1256867
0.57,1256868
0.57,1260482
0.57,1260483
0.57,1260484
0.57,1260485
0.57,1264099
0.57,1264100
0.57,1264101
0.57,1264102
0.57,1267716
0.57,1267717
0.57,1267718
0.57,1267719
0.58,1253252
0.58,1253253
0.58,1253254
