cell_id,rescaled_catch
1196502,0.6237330893034231
1200119,0.17820912947394915
1200120,0.610494852247266
1203737,0.35386258347918087
1203738,0.6205558620785092
1207355,0.2379539547335175
1207356,0.6361790026211597
1210973,0.16346174209538197
1210974,0.5699026963728506
1210975,0.8021480107461265
1196503,0.3961461337227833
1196504,0.4783921622309255
1196505,0.5677016270746652
1200121,0.3865960386700222
1200122,0.4930455607222423
1200123,0.5570772969310033
1200124,0.635962978437336
1203739,0.3841084258679401
1203740,0.48831158032931615
1203741,0.5397103472670174
1203742,0.6140369639488402
1207357,0.38119693664294835
1207358,0.5150058669585382
1207359,0.5621474240253835
1207360,0.5932242190690034
1210976,0.5249798983525854
1210977,0.6275415197522614
1210978,0.6897178834316892
1210979,0.8208524077109093
1196506,1.905727011150122e-4
1196507,1.8704673511136055e-4
1196508,1.7811428790210973e-4
1200125,1.8669644306393895e-4
1200126,1.8017916733954233e-4
1200127,1.7281381613191445e-4
1200128,1.6461882586460386e-4
1203743,1.906648832327547e-4
1203744,1.8453016329698956e-4
1203745,1.7255570620223538e-4
1203746,1.653286281712213e-4
1207361,1.9600683695593412e-4
1207362,1.8878897713669432e-4
1207363,1.7971364764494255e-4
1207364,1.6607069421904866e-4
1210980,1.9804406175804397e-4
1210981,1.9072019250340023e-4
1210982,1.73454481850225e-4
1210983,1.6094536847256416e-4
1200129,1
1203747,1
1203748,1
1203749,0.45020275078850774
1207365,1
1207366,1
1207367,0.9402685291638287
1210984,1
1210985,1
1210986,0.46113026330831886
1221826,0.4781872552105015
1225443,0.42832073482481053
1225444,1
1229061,0.9940726409726329
1229062,1
1232678,0.6617782210008714
1232679,1
1232680,1
1214592,0.3345531584028068
1214593,0.6322241132236521
1218209,0.16883285763150926
1218210,0.3576309561887542
1218211,0.663448800647872
1221827,0.26672217308413465
1221828,0.47262448844248156
1221829,0.7060743004572403
1221830,0.92388154915714
1225445,0.40418681112499294
1225446,0.6450494112651699
1225447,0.8076410509602859
1225448,1
1229063,0.5497184261262527
1229064,0.6812992363012058
1229065,0.9336490280799616
1229066,1
1232681,0.7572372931923915
1232682,0.9112055031824593
1232683,1
1232684,1
1214594,0.6716791704119722
1214595,0.8299118957057271
1214596,0.918430391888177
1214597,1
1218212,0.7027245175261241
1218213,0.8785896815920693
1218214,1
1218215,1
1221831,0.9310796266939124
1221832,1
1221833,1
1225449,1
1225450,1
1225451,1
1225452,1
1229067,1
1229068,1
1229069,1
1229070,1
1232685,1
1232686,1
1232687,1
1232688,1
1214598,0.42170699973240816
1214599,0.4336565261734188
1214600,0.35399186429020885
