cell_id,rescaled_catch
1195335,0.002410857403653141
1195336,0.001979720074117807
1195337,0.001733520665664366
1195338,0.0017099388378895438
1198952,0.0037115746323850385
1198953,0.003748036751960783
1198954,0.0030662784212642283
1198955,0.002543441103832779
1202569,0.005130393243152254
1202570,0.005349165960606718
1202571,0.005270922993995147
1202572,0.0031738705104868543
1206186,0.0054285623861855346
1206187,0.005359226686043259
1206188,0.005253172542110295
1209802,0.005743200360028949
1209803,0.005589469912116453
1209804,0.005435803545257694
1209805,0.005343911314200371
1195339,1.22779298958041e-4
1195340,1.202160568086038e-4
1195341,1.1733240939048699e-4
1195342,1.2008789470113195e-4
1198956,1.2681640534340454e-4
1198957,1.2316378528045657e-4
1198958,1.236123526566081e-4
1202573,1.347624560066598e-4
1202574,1.299563769764651e-4
1202575,1.3245553807216635e-4
1206189,1.5911325642631302e-4
1206190,1.5167985419294519e-4
1206191,1.4488726249693666e-4
1206192,1.498855846883392e-4
1209806,1.7564616829018285e-4
1209807,1.7359557457063312e-4
1209808,1.584083648352178e-4
1209809,1.6039487750103165e-4
1195343,1.3200697069601486e-5
1195344,1.3200697069601486e-5
1195345,1.3200697069601486e-5
1198959,1.3521102338281131e-5
1198960,1.3457021284545202e-5
1198961,1.3264778123337413e-5
1198962,1.3136616015865557e-5
1202576,1.3713345499488921e-5
1202577,1.3585183392017062e-5
1202578,1.3392940230809273e-5
1202579,1.3264778123337413e-5
1206193,1.3713345499488921e-5
1206194,1.3585183392017062e-5
1206195,1.3457021284545202e-5
1206196,1.3328859177073342e-5
1209810,1.3521102338281131e-5
1209811,1.3457021284545202e-5
1209812,1.3392940230809273e-5
1209813,1.3392940230809273e-5
1195346,5.236703711300162e-4
1195347,5.264258564406612e-4
1195348,5.44817118862873e-4
1195349,5.552623306218294e-4
1198963,5.170700225952154e-4
1198964,5.155961583592891e-4
1198965,5.273229911929642e-4
1198966,5.375759597907128e-4
1202580,5.185438868311417e-4
1202581,5.179030762937825e-4
1202582,5.270025859242845e-4
1202583,5.293735849125139e-4
1206197,5.233499658613364e-4
1206198,5.188002110460856e-4
1206199,5.216838584642023e-4
1206200,5.252083164196785e-4
1209814,5.316164217932715e-4
1209815,5.271307480317563e-4
1209816,5.262336132794533e-4
1209817,5.317445839007433e-4
1195350,2.026883729667451e-4
1195351,2.1114707205988783e-4
1195352,2.2210493224873176e-4
1195353,2.2934609132089183e-4
1198967,1.905129727569185e-4
1198968,1.9993288765610015e-4
1198969,2.0666139829837276e-4
1198970,2.078789383193554e-4
1202584,1.8993624327329515e-4
1202585,1.9563945705579287e-4
1202586,2.022398055905936e-4
1202587,2.0441856141761522e-4
1206201,1.8692443374770647e-4
1206202,1.9057705381065446e-4
1206203,1.93717025443715e-4
1206204,1.998047255486283e-4
1209818,1.8942359484340772e-4
1209819,1.8891094641352026e-4
1209820,0.00019333253912129941
1209821,1.960880244319444e-4
1195354,0.0012832231010619889
1195355,0.0013734492247221776
1195356,0.0014163835307252506
1195357,0.0014904612288439852
1198971,0.001215809832531791
1198972,0.0012945654475732486
1198973,0.0012944372854657767
1198974,0.0013690276320143986
1202588,0.0011865247909744712
1202589,0.0011728755265287183
1202590,0.0012445181446054875
1202591,0.0012992433644959712
1206205,0.0010755364059038413
1206206,0.0011432700797027189
1206207,0.0011862684667595276
1206208,0.0012209363168306656
1209822,0.0010656679236285083
1209823,0.001121354359325031
1209824,0.0011464741323895153
1209825,0.0011581368841694546
1195358,4.994477328178348e-4
1195359,5.218120205716742e-4
1195360,5.405236882625656e-4
1195361,5.653230560583704e-4
1198975,4.7016269126051496e-4
1198976,4.941290053577526e-4
1198977,5.173904278638951e-4
1198978,5.369992303070894e-4
1202592,4.469012687543726e-4
1202593,4.6734312489613407e-4
1202594,4.850935767809865e-4
1202595,5.1290475410238e-4
1206209,4.208202798838493e-4
1206210,4.3408505800718663e-4
1206211,4.6266520797341124e-4
