cell_id,rescaled_catch
3317780,4.609105887126326e-9
3317781,4.609105887126326e-9
3321396,4.609105887126326e-9
3321397,4.609105887126326e-9
3321398,4.609105887126326e-9
3317782,1.8436423548505303e-8
3317783,1.8436423548505303e-8
3317784,1.3827317661378978e-8
3317785,1.3827317661378978e-8
3317786,9.218211774252652e-9
3321399,1.8436423548505303e-8
3321400,1.8436423548505303e-8
3321401,1.3827317661378978e-8
3321402,1.3827317661378978e-8
3321403,4.609105887126326e-9
3317787,1.8588524042780472e-5
3317788,1.8431814442618175e-5
3321404,1.8311977689552894e-5
3321405,1.5786187663407665e-05
3321406,1.1416755282411909e-5
3321407,1.018612401054918e-5
3325016,4.5261419811580516e-6
3325017,4.309514004463115e-6
3325018,4.125149768978061e-6
3325019,3.761030403895082e-6
3325020,3.3784746152635965e-6
3328633,4.470832710512536e-6
3328634,4.235768310269094e-6
3328635,4.074449604219672e-6
3328636,3.608929909619913e-6
3328637,3.3093380269567016e-6
3332250,4.429350757528399e-6
3332251,4.18967725139783e-6
3332252,4.01453122768703e-6
3332253,3.4614385212318705e-6
3332254,3.221765015101302e-6
3335867,4.387868804544263e-6
3335868,4.171240827849324e-6
3335869,3.890085368734619e-6
3335870,3.3692564034893445e-6
3335871,3.115755579697396e-6
3339484,4.355605063334378e-6
3339485,4.120540663090935e-6
3339486,3.7656395097822083e-6
3339487,3.3047289210695754e-6
3339488,3.0973191561488906e-6
3343101,4.309514004463115e-6
3343102,4.074449604219672e-6
3343103,3.7333757685723235e-6
3343104,3.2909016034081963e-6
3343105,3.134192003245901e-6
3346718,4.272641157366104e-6
3346719,4.060622286558293e-6
3346720,3.7702486156693345e-6
3346721,3.3139471328438282e-6
3346722,3.1480193209072807e-6
3325021,1.0840617046521117e-5
3328638,9.600767562884135e-6
3332255,1.0665471022810318e-5
3335872,1.055024337563216e-5
3335873,8.218035796746238e-6
3339489,1.0494934104986644e-5
3339490,1.0370488246034234e-5
3339491,4.13897708663944e-6
3343106,1.0494934104986644e-5
3343107,1.0370488246034232e-5
3343108,3.51213868599026e-6
3346723,1.0513370528535148e-5
3346724,9.18133892715564e-6
3350335,4.572233040029315e-6
3350336,4.369432380995757e-6
3350337,4.198895463172083e-6
3350338,3.9223491099445034e-6
3350339,3.797903250992092e-6
3353952,4.535360192932305e-6
3353953,4.318732216237367e-6
3353954,4.162022616075072e-6
3353955,3.8900853687346195e-6
3353956,3.7610304038950812e-6
3357569,4.493878239948168e-6
3357570,4.309514004463114e-6
3357571,4.129758874865189e-6
3357572,3.867039839298987e-6
3357573,3.7287666626851973e-6
3361186,4.461614498738284e-6
3361187,4.268032051478978e-6
3361188,4.092886027768176e-6
3361189,3.843994309863356e-6
3361190,3.70111202736244e-6
3364803,4.429350757528399e-6
3364804,4.212722780833461e-6
3364805,4.0421858630097876e-6
3364806,3.820948780427724e-6
3364807,3.6688482861525552e-6
3368420,4.387868804544263e-6
3368421,4.198895463172083e-6
3368422,4.019140333574156e-6
3368423,3.8117305686534713e-6
3368424,3.664239180265429e-6
3350340,1.1863838553463161e-5
3350341,6.3836116536699615e-6
3353957,1.1564246670799951e-5
3353958,7.162550548594311e-6
3357574,1.1144818035071455e-5
3357575,9.60537666877126e-6
3361191,1.0762262246439972e-5
3361192,9.94645050441861e-6
3361193,4.627542310674831e-6
3364808,1.0356660928372855e-5
3364809,1.0015587092725505e-5
3364810,7.088804854400289e-6
3368425,1.0080114575145275e-5
3368426,9.7344316336108e-6
3368427,5.798255206004918e-6
3372037,5.609281864632739e-6
3372038,5.231335181888379e-6
3372039,4.627542310674831e-6
3372040,3.5858843801842813e-6
3372041,2.9498277677608488e-6
3375654,5.563190805761476e-6
3375655,5.1483712759201054e-06
3375656,4.507705557609547e-6
3375657,3.3692564034893445e-6
3375658,2.7977272734856794e-6
3379271,5.521708852777339e-6
3379272,5.134543958258727e-6
3379273,4.516923769383799e-6
3379274,3.3185562387309544e-6
3379275,2.7331997910659107e-6
3382888,5.507881535115959e-6
3382889,5.1483712759201054e-06
3382890,4.6044967812391985e-6
3382891,3.447611203570492e-6
3382892,2.8207728029213114e-6
3386505,5.549363488100097e-6
3386506,5.2221169701141266e-6
3386507,4.72894264019161e-6
3386508,3.867039839298987e-6
3386509,2.9636550854222274e-6
3390122,5.627718288181244e-6
3390123,5.254380711324011e-6
3390124,4.821124757934137e-6
3390125,4.212722780833461e-6
3390126,3.1710648503429126e-6
3372042,2.9553586948253997e-5
3372043,2.7378088969530373e-5
3372044,1.8482514607376565e-5
3375659,2.479698967273963e-5
3375660,2.305474764740588e-5
3379276,1.4080818485170926e-5
3382893,2.5516010191131336e-5
3386510,3.107459189100569e-5
3386511,2.1750370681349127e-05
3390127,3.680371050870371e-5
3390128,2.982552419559445e-5
3390129,2.3114666023938524e-5
3390130,2.080089486860111e-5
3393739,8.757301185540019e-8
3393740,7.835480008114755e-8
3393741,6.913658830689488e-8
3393742,5.991837653264222e-8
3393743,3.687284709701061e-8
3397356,8.757301185540019e-8
3397357,8.296390596827387e-8
3397358,6.913658830689488e-8
3397359,6.452748241976856e-8
3397360,4.1481952984136934e-8
3400973,9.218211774252652e-8
3400974,8.296390596827387e-8
3400975,7.374569419402121e-8
3400976,6.452748241976856e-8
3400977,4.609105887126326e-8
3404590,9.679122362965284e-8
3404591,8.757301185540019e-8
3404592,7.835480008114755e-8
3404593,6.913658830689488e-8
3404594,5.070016475838958e-8
3408207,9.679122362965284e-8
3408208,9.218211774252652e-8
3408209,8.296390596827387e-8
3408210,7.835480008114755e-8
3408211,5.991837653264222e-8
3411824,1.0140032951677917e-7
3411825,9.679122362965284e-8
3411826,8.757301185540019e-8
3411827,7.835480008114755e-8
3411828,6.452748241976856e-8
3393744,9.453276174496094e-6
3393745,8.038280667148312e-6
3393746,6.471184665525362e-6
3393747,5.005488993419189e-6
3393748,4.189677251397831e-6
3397361,1.0458061257889632e-5
3397362,8.766519397314272e-6
3397363,7.277778195772469e-6
3397364,5.715291300036644e-6
3397365,4.793470122611379e-6
3400978,1.084983525829537e-5
3400979,9.075329491751735e-6
3400980,7.646506666742574e-6
3400981,6.2822113241531814e-06
3400982,5.249771605436885e-6
3404595,1.2048202788948215e-5
3404596,9.310393891995178e-6
3404597,7.8262617963405e-6
3404598,6.733903701091562e-6
3404599,5.678418452939633e-6
3408212,1.5800014981069046e-5
3408213,9.766695374820684e-6
3408214,7.844698219889007e-6
3408215,7.16255054859431e-6
3408216,6.30986595947594e-6
3411829,1.62470982521203e-5
3411830,9.739040739497926e-6
3411831,8.098199043680954e-6
3411832,7.148723230932931e-6
3411833,6.461966453751109e-6
3393753,7.851150968130985e-5
3397366,8.066396213059783e-5
3397369,8.694617345475101e-5
3397370,9.690184217094388e-5
3400983,1.0533650594438504e-4
3400984,9.287348362559545e-5
3400986,6.271149470024079e-5
3404600,1.1246679275176948e-4
3404601,1.0055225403354794e-4
3404602,9.306706607285476e-5
3408217,1.2220122438538026e-4
3408218,1.0137728398734352e-4
3408219,7.916600271728177e-5
3411834,1.2927159281623206e-4
3411835,1.0366800961324532e-4
3411836,7.918904824671742e-5
3411839,9.788358172490178e-5
3393755,1.1720956270962246e-5
3393756,1.27810506250013e-5
3397371,2.073636738618134e-5
3397372,1.6233270934458918e-5
3400989,1.9648618396819526e-5
3400990,1.046267036377676e-5
3404606,2.2575400635144742e-5
3408222,2.0515130303599276e-5
3408223,2.1206496186668227e-5
3411840,1.7242665123739585e-5
3426292,4.609105887126326e-8
3429908,4.609105887126326e-8
3429909,4.609105887126326e-8
