cell_id,rescaled_catch
739669,6.369784336008582e-6
739670,6.286820430040309e-6
739671,2.700936049856027e-6
739672,2.373689531870058e-6
739673,2.281507414127531e-6
739674,7.604102892581012e-5
750515,2.3967350613056895e-7
754131,2.3045529435631628e-7
754132,2.166279766949373e-7
757748,2.0740976492068465e-7
757749,1.7975512959792673e-7
743284,2.5598052275922187e-4
746899,2.554643028998637e-4
746900,2.554320391586539e-4
746901,2.54998783205264e-4
750516,2.5510940174655497e-4
750517,2.5456091814598695e-4
750518,2.5358839680380337e-4
754133,2.5292929466194425e-4
754134,2.493157556464372e-4
754135,2.4840315268078616e-4
757750,2.46061726890126e-4
757751,2.4253576088647443e-4
757752,2.3750261725773245e-4
743285,1.1348079604693726e-4
743286,1.1046183169086952e-4
743287,1.0574210726245217e-4
746902,1.088302082068268e-4
746903,1.0461748542599335e-4
746904,9.986088815047898e-5
750519,1.0116526511653572e-4
750520,9.842284711369556e-5
750521,9.554215593424161e-5
754136,9.55421559342416e-5
754137,9.373077732060097e-5
754138,9.20761083071226e-5
757753,8.983608284597922e-5
757754,8.859623336234223e-5
757755,8.655439945434528e-5
743288,2.4732462190319864e-5
743289,2.3635494989183796e-5
743290,2.3179193506358292e-5
746905,2.288881983546933e-5
746906,2.2686019176435775e-5
746907,2.2483218517402216e-5
750522,2.134937846916914e-5
750523,2.123875992787811e-5
750524,2.1174232445458343e-5
754139,1.9703927667465042e-5
754140,1.9814546208756075e-5
754141,1.947347237310873e-5
757756,1.673566347615569e-5
757757,1.673105437026856e-5
757758,1.7067519100028785e-5
743291,1.440714318197947e-4
743292,1.4370270334882458e-4
743293,1.441267410904402e-4
746908,1.4190515205284534e-4
746909,1.4208490718244324e-4
746910,1.4216326198252438e-4
746911,1.4250433581817175e-4
750525,1.3981261798008996e-4
750526,1.4026431035702835e-4
750527,1.4070217541630535e-4
750528,1.4094184892243588e-4
754142,1.3663233491797278e-4
754143,1.3725917331862197e-4
754144,1.3870182346129253e-4
754145,1.3919499779121503e-4
757759,1.3374242552674457e-4
757760,1.3524038494006066e-4
757761,1.3639266141184222e-4
757762,1.3741127381289715e-4
750529,8.642995359539287e-5
754146,8.436046505207314e-5
754147,8.516705858232025e-5
757763,8.148438297850631e-5
757764,8.165491989632998e-5
761363,2.009570166787078e-6
764979,1.8897334137217937e-6
764980,1.825205931302025e-6
768596,1.7514602371080036e-6
768597,1.696150966462488e-6
772212,1.7468511312208774e-6
772213,1.6915418605753616e-6
772214,1.6270143781555929e-6
775829,1.696150966462488e-6
775830,1.6592781193654772e-6
775831,1.613187060494214e-6
761364,5.084857796795504e-4
761365,5.012955744956335e-4
761366,4.888187248591825e-4
764981,4.863390258919085e-4
764982,4.805868617447748e-4
764983,4.656072676116143e-4
768598,4.7117967662914996e-4
768599,4.612101805952958e-4
768600,4.515080127028949e-4
772215,4.607677064301316e-4
772216,4.4762253644004734e-4
772217,4.3749633080603084e-4
